PROBEID	ENTREZID	SYMBOL
1415670_at	54161	Copg1
1415671_at	11972	Atp6v0d1
1415672_at	57437	Golga7
1415673_at	100678	Psph
1415674_a_at	60409	Trappc4
1415675_at	13481	Dpm2
1415676_a_at	19173	Psmb5
1415677_at	52585	Dhrs1
1415678_at	19042	Ppm1a
1415679_at	66340	Psenen
1415680_at	17222	Anapc1
1415681_at	94067	Mrpl43
1415682_at	65246	Xpo7
1415683_at	18107	Nmt1
1415684_at	11793	Atg5
1415685_at	76784	Mtif2
1415686_at	68365	Rab14
1415687_a_at	19156	Psap
1415688_at	67128	Ube2g1
1415689_s_at	72739	Zkscan3
1415690_at	94064	Mrpl27
1415691_at	13383	Dlg1
1415692_s_at	12330	Canx
1415693_at	67819	Derl1
1415694_at	22375	Wars
1415695_at	26440	Psma1
1415696_at	20224	Sar1a
1415697_at	23881	G3bp2
1415698_at	105348	Golm1
1415699_a_at	209318	Gps1
1415700_a_at	67437	Ssr3
1415701_x_at	100044627|100862455|65019	LOC100044627|LOC100862455|Rpl23
1415702_a_at	13016	Ctbp1
1415703_at	59026	Huwe1
1415704_a_at	321022	Cdv3
1415705_at	66818	Smim7
1415706_at	12847	Copa
1415707_at	99152	Anapc2
1415708_at	544752	Tug1
1415709_s_at	107338	Gbf1
1415710_at	231430	Cox18
1415711_at	211673	Arfgef1
1415712_at	360216	Zranb1
1415713_a_at	27225	Ddx24
1415714_a_at	66618	Snrnp27
1415715_at	68366	Tmem129
1415716_a_at	100043813|57294	Rps27rt|Rps27
1415717_at	66743	Rnf220
1415718_at	50724	Sap30l
1415719_s_at	74252	Armc1
1415720_s_at	66591	Mad2l1bp
1415721_a_at	74763	Naa60
1415722_a_at	66201	Vta1
1415723_at	217869	Eif5
1415724_a_at	12540	Cdc42
1415725_at	106298	Rrn3
1415726_at	81702	Ankrd17
1415727_at	246703	Apoa1bp
1415728_at	54196	Pabpn1
1415729_at	18607	Pdpk1
1415730_at	269061	Cpsf7
1415731_at	52477	Angel2
1415732_at	193742	Abhd16a
1415733_a_at	666377|68512	Gm8069|Tomm5
1415734_at	19349	Rab7
1415735_at	13194	Ddb1
1415736_at	56612	Pfdn5
1415737_at	54391	Rfk
1415738_at	66073	Txndc12
1415739_at	68035	Rbm42
1415740_at	19184	Psmc5
1415741_at	21982	Tmem165
1415742_at	11993	Aup1
1415743_at	15184	Hdac5
1415744_at	14976	Pfdn6
1415745_a_at	13185	Dscr3
1415746_at	71722	Cic
1415747_s_at	66878	Riok3
1415748_a_at	59288	Dctn5
1415749_a_at	54170	Rragc
1415750_at	213773	Tbl3
1415751_at	15441	Hp1bp3
1415752_at	407819	BC031181
1415753_at	216169	Abhd17a
1415754_at	69833	Polr2f
1415755_a_at	66589	Ube2v1
1415756_a_at	20615	Snapin
1415757_at	107338	Gbf1
1415758_at	72313	Fryl
1415759_a_at	68576	Lamtor5
1415760_s_at	11927	Atox1
1415761_at	68836	Mrpl52
1415762_x_at	68836	Mrpl52
1415763_a_at	76799	Tmem234
1415764_at	667118|70579	Zbed6|Zc3h11a
1415765_at	68693	Hnrnpul2
1415766_at	20333	Sec22b
1415767_at	228994	Ythdf1
1415768_a_at	67615	Ube2r2
1415769_at	16396	Itch
1415770_at	83669	Wdr6
1415771_at	17975	Ncl
1415772_at	17975	Ncl
1415773_at	17975	Ncl
1415774_at	58523	Elp2
1415775_at	245688	Rbbp7
1415776_at	11671	Aldh3a2
1415777_at	18946	Pnliprp1
1415778_at	56397	Morf4l2
1415779_s_at	11465	Actg1
1415780_a_at	67416	Armcx2
