Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
PID_IL5_PATHWAY	0	NA	NA	NA	NA	NA	NA
BIOCARTA_PTDINS_PATHWAY	0	NA	NA	NA	NA	NA	NA
POS_RESPONSE_TO_HISTAMINE_UP	0	NA	NA	NA	NA	NA	NA
PID_P38_MK2_PATHWAY	0	NA	NA	NA	NA	NA	NA
NELSON_RESPONSE_TO_ANDROGEN_DN	0	NA	NA	NA	NA	NA	NA
AZARE_STAT3_TARGETS	0	NA	NA	NA	NA	NA	NA
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0	NA	NA	NA	NA	NA	NA
VISALA_AGING_LYMPHOCYTE_UP	0	NA	NA	NA	NA	NA	NA
WANG_METASTASIS_OF_BREAST_CANCER_ESR1_UP	0	NA	NA	NA	NA	NA	NA
REACTOME_BETA_DEFENSINS	0	NA	NA	NA	NA	NA	NA
KEGG_ASTHMA	0	NA	NA	NA	NA	NA	NA
CHIN_BREAST_CANCER_COPY_NUMBER_UP	0	NA	NA	NA	NA	NA	NA
KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_UP	0	NA	NA	NA	NA	NA	NA
PID_THROMBIN_PAR4_PATHWAY	0	NA	NA	NA	NA	NA	NA
MANTOVANI_NFKB_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
LY_AGING_MIDDLE_UP	0	NA	NA	NA	NA	NA	NA
WILENSKY_RESPONSE_TO_DARAPLADIB	0	NA	NA	NA	NA	NA	NA
CHEOK_RESPONSE_TO_HD_MTX_UP	0	NA	NA	NA	NA	NA	NA
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_DN	0	NA	NA	NA	NA	NA	NA
PID_THROMBIN_PAR1_PATHWAY	0	NA	NA	NA	NA	NA	NA
NUNODA_RESPONSE_TO_DASATINIB_IMATINIB_DN	0	NA	NA	NA	NA	NA	NA
MALIK_REPRESSED_BY_ESTROGEN	0	NA	NA	NA	NA	NA	NA
STARK_BRAIN_22Q11_DELETION	0	NA	NA	NA	NA	NA	NA
REACTOME_SIGNAL_ATTENUATION	0	NA	NA	NA	NA	NA	NA
NEWMAN_ERCC6_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
MA_PITUITARY_FETAL_VS_ADULT_UP	0	NA	NA	NA	NA	NA	NA
MOREIRA_RESPONSE_TO_TSA_DN	0	NA	NA	NA	NA	NA	NA
WILLIAMS_ESR2_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
ZHAN_MULTIPLE_MYELOMA_MS_DN	0	NA	NA	NA	NA	NA	NA
ENGELMANN_CANCER_PROGENITORS_UP	0	NA	NA	NA	NA	NA	NA
LI_ADIPOGENESIS_BY_ACTIVATED_PPARG	0	NA	NA	NA	NA	NA	NA
KEGG_PROTEIN_EXPORT	0	NA	NA	NA	NA	NA	NA
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0	NA	NA	NA	NA	NA	NA
REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX	0	NA	NA	NA	NA	NA	NA
