Item ID	Item value	Change in Kuiper test statistic when item removed
TIMM8A	15.4667408463186	2.220446049250313E-16
G6PD	22.458529659294	0.07021174972138022
POR	12.3741580304414	2.220446049250313E-16
GRPEL1	14.946593089848	2.220446049250313E-16
PEX11A	14.4726506494811	2.220446049250313E-16
MKNK2	13.4678672824165	2.220446049250313E-16
PPIF	15.3451971061913	2.220446049250313E-16
AK2	12.0071099803571	0.012259194395796924
CYCS	17.3840547622541	0.01608024199967939
MRPL15	16.1522677693416	2.220446049250313E-16
ACO2	15.7301615232874	2.220446049250313E-16
CLOCK	22.016808779441	0.07021174972138022
