Item ID	Item value	Change in Kuiper test statistic when item removed
RPIA	17.0179328490872	-3.3306690738754696E-16
RANBP1	20.8398458867934	-3.3306690738754696E-16
SLC16A1	22.5365714162657	0.07180385288966606
AUH	12.9826856300813	-3.3306690738754696E-16
PPAT	11.3295772706258	0.05429071803852792
NAMPT	15.2557942490253	-3.3306690738754696E-16
CYCS	17.3840547622541	-3.3306690738754696E-16
GPD1L	12.4142449056058	-3.3306690738754696E-16
HSPE1	19.3270731635036	-3.3306690738754696E-16
SRPK1	21.1969096217114	-3.3306690738754696E-16
NME1	21.1720453654628	-3.3306690738754696E-16
