Item ID	Item value	Change in Kuiper test statistic when item removed
CCT3	20.6869285995146	-3.3306690738754696E-16
CSNK1G3	14.0819218329034	0.0360279690393579
HSP90AA1	20.4614110018926	-3.3306690738754696E-16
TMEM147	21.5038391068415	-3.3306690738754696E-16
GRPEL1	14.946593089848	-3.3306690738754696E-16
SERBP1	21.1766096410598	-3.3306690738754696E-16
CUL2	22.4516330948709	0.03949141616789131
GLRX	16.6375508012433	-3.3306690738754696E-16
MRPL15	16.1522677693416	-3.3306690738754696E-16
IPO7	16.5819707782831	-3.3306690738754696E-16
CCT5	19.1950068942662	-3.3306690738754696E-16
