"CycID","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","18","20","22","24","26","28","30","32","34","36","38","40","42","44","46","48","50","52","54","56","58","60","62","64"
"1456556_at",0.273700689087955,0.54882833183869,24,15,1.76776695296638,0.654436053198118,1,24,17.2341349327858,71.6242185647039,0.487151849740659,1,24,16.1170674663929,70.1416666666667,1.65732214377238,0.0236282116256013,67.6,67.2,67.2,66.5,67.7,67.7,70.8,66.5,71.1,69.4,69.2,71.4,76.5,69.9,73.3,70.3,68.4,70.1,68.8,69.6,71.3,73.3,73.8,75.8
"1443515_at",1,1,24,16,0.848528137423859,1,1,24,4.1162189758314,71.5280305294633,1,1,24,10.0581094879157,69.9791666666667,0.829711287431797,0.0118565471261466,66.8,67.7,67.2,66.8,97.7,66.8,69.1,66.1,69.1,66.8,68.8,69.8,69.1,68.6,70.1,68.6,67.5,68.6,67.6,68.6,69.5,72.4,72.4,73.8
"1438486_at",1,1,24,16,1.20208152801713,0.999931036252195,1,24,22.3775352261087,74.0944656553171,0.999999997621946,1,24,19.1887676130543,72.4416666666667,1.23231435981769,0.0170111265590847,68.7,69.8,66.9,71.3,67.2,70.1,72.8,68.9,73,71.1,71.3,73.7,73.2,71.8,75.7,79.2,72.6,72.5,71,71.3,73.8,75.9,79.4,77.4
"1453822_at",0.0156365144350622,0.161367538029538,24,15,2.05060966544099,0.144828377308508,1,24,16.5980583867767,88.4113237728475,0.0160568898397446,0.20350937692959,24,15.7990291933883,87.0916666666667,1.94016213959352,0.0222772420582932,85.5,86,83.8,84.3,81.3,84.4,87.7,83.3,88.2,86.5,90,88.9,88.3,87.1,89.1,86.8,86.5,87.4,86,86.2,88.9,90.4,90.6,93
"1457690_at",0.106151550247008,0.369222783467853,24,15,0.565685424949236,0.739556821873666,1,24,16.3794039232455,51.0403737867835,0.278268532921495,0.878095717644352,24,15.6897019616228,48.7208333333334,1.65979687293547,0.0340674976057908,47.7,47.5,46.8,47.5,46.1,47.7,48.4,47.4,48.3,47.8,48.1,58.5,53.9,48.1,49.1,48,48.1,48.1,47.6,48,48.7,48.8,49.4,49.7
"1439685_at",1,1,24,18,1.83847763108503,0.999999851723082,1,24,21.740449007778,89.6399508198624,0.999999999999989,1,24,19.870224503889,89.6208333333334,1.76438815622685,0.0196872545211049,87.5,87.8,88.3,84.2,101.9,86.9,88.3,84.1,89.5,86.7,88.8,90.1,89.6,88.2,96.2,88.7,85.5,90.2,85.4,87.1,90.3,93.3,94.5,97.8
"1446919_at",0.0978901795936629,0.358834969184981,24,15,0.707106781186548,0.405764061537691,1,24,17.2683264883488,53.5908110102124,0.167853787615574,0.757462940503492,24,16.1341632441744,53.2625,0.675297805407682,0.0126786727135918,53,53.1,51.1,52.5,51.7,52.5,53.3,51.9,53.5,52.7,53.1,54.1,53.8,53.3,54.5,53.2,53.1,53.2,52.2,53.2,53.9,55.4,55.2,54.8
"1451177_at",0.00206097276857676,0.0441321791986457,24,15,1894.33906679876,0.162840722289124,1,24,15.9547308384729,12640.2237683612,0.00302034494943293,0.0587321260054431,24,15.4773654192364,11389.8,2346.26529680512,0.20599705849138,10892.7,9741.2,8837.3,11069.7,8207.5,10039.1,10761.1,8318.9,11196.2,11994.9,17327.2,13742.5,11085.3,10085.8,9674.5,13487.4,9960.4,9587.8,9118.7,8475.8,10871.7,15113.8,20051,13714.7
"1442067_at",1,1,24,8,8.62670273047587,0.999999369344006,1,24,0.843046530136998,159.14261536757,0.999999999999801,1,24,4.4215232650685,134.083333333333,12.0580910020394,0.0899298272370868,142.5,112.6,115.3,309.7,172.6,112.4,109.9,196.2,110.4,142.3,115.2,114.4,99.3,109.2,115.9,113.3,156,127.3,110.7,107.2,120.3,164.7,124.5,116.1
"1459650_at",0.83800283819341,1,24,10,3.18198051533947,0.999926200687486,1,24,7.3990360092696,84.1795449965345,0.986095324979951,1,24,8.6995180046348,72.8833333333334,9.0609796604566,0.124321696690463,94.3,57.9,62.7,63.2,59.9,107.5,146.5,71.3,64.7,67.1,74.3,65.3,66.4,64.4,66.1,84.3,63.2,64.4,61.4,76.7,68,65.7,67.2,66.7
